_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,Latitude2,Longitude2,distance,min(distance)
4605857,04:34.8,CA,AB,Calgary,51.03922,-113.97842,POI1,53.546167,-113.485734,280.97134,280.97134
4605958,04:38.0,CA,BC,Vancouver,49.2501,-123.038,POI1,53.546167,-113.485734,817.67194,817.67194
4606106,04:34.9,CA,AB,Calgary,51.03922,-113.97842,POI1,53.546167,-113.485734,280.97134,280.97134
4606195,04:38.6,CA,ON,Burlington,43.3354,-79.8577,POI3,45.521629,-73.566024,556.5623,556.5623
4606243,04:38.9,CA,AB,Edmonton,53.43941,-113.40575,POI1,53.546167,-113.485734,13.0135565,13.0135565
4606289,04:39.5,CA,ON,Cornwall,45.0238,-74.7491,POI3,45.521629,-73.566024,108.07252,108.07252
4606339,04:39.5,CA,ON,Ancaster,43.208,-79.9652,POI3,45.521629,-73.566024,570.9865,570.9865
4606392,04:39.6,CA,ON,Toronto,43.6798,-79.3517,POI3,45.521629,-73.566024,502.716,502.716
4606427,04:38.6,CA,ON,Mississauga,43.5355,-79.6915,POI3,45.521629,-73.566024,534.4117,534.4117
4606430,04:39.5,CA,ON,Ottawa,45.3244,-75.6048,POI3,45.521629,-73.566024,161.05783,161.05783
4606516,04:39.5,CA,ON,Barrie,44.4015,-79.6782,POI3,45.521629,-73.566024,497.91437,497.91437
4606667,04:39.6,CA,ON,Niagara Falls,43.0778,-79.0898,POI3,45.521629,-73.566024,517.55475,517.55475
4606761,04:36.7,CA,QC,Saint-Laurent,45.50387,-73.68473,POI3,45.521629,-73.566024,9.483408,9.483408
4606842,04:38.8,CA,ON,Oakville,43.4934,-79.7126,POI3,45.521629,-73.566024,538.03754,538.03754
4606843,04:39.5,CA,ON,Milton,43.5148,-79.884,POI3,45.521629,-73.566024,549.3804,549.3804
4606905,04:39.6,CA,QC,Vaudreuil-Dorion,45.3838,-74.041,POI3,45.521629,-73.566024,40.188133,40.188133
4606953,04:39.7,CA,ON,Bowmanville,43.911,-78.6806,POI3,45.521629,-73.566024,442.90897,442.90897
4607026,04:38.7,CA,BC,North Vancouver,49.3358,-123.074,POI1,53.546167,-113.485734,813.6959,813.6959
4607059,04:39.5,CA,ON,Scarborough,43.7703,-79.2165,POI3,45.521629,-73.566024,488.53662,488.53662
4607086,04:39.5,CA,ON,Scarborough,43.7667,-79.2386,POI3,45.521629,-73.566024,490.31546,490.31546
4607106,04:39.6,CA,ON,Etobicoke,43.6928,-79.531,POI3,45.521629,-73.566024,515.1208,515.1208
4607194,04:39.7,CA,AB,Calgary,51.0494,-113.9564,POI1,53.546167,-113.485734,279.67026,279.67026
4607302,04:39.9,CA,AB,Spruce Grove,53.54628,-113.88183,POI1,53.546167,-113.485734,26.255928,26.255928
4607343,04:39.6,CA,ON,Scarborough,43.7295,-79.2629,POI3,45.521629,-73.566024,493.86554,493.86554
4607438,04:39.6,CA,ON,Toronto,43.6796,-79.4343,POI3,45.521629,-73.566024,508.71753,508.71753
4607470,04:39.7,CA,ON,Scarborough,43.7658,-79.185,POI3,45.521629,-73.566024,486.4631,486.4631
4607497,04:39.7,CA,ON,Toronto,43.68304,-79.32345,POI3,45.521629,-73.566024,500.5115,500.5115
4607576,04:39.7,CA,ON,Niagara Falls,43.0991,-79.11244,POI3,45.521629,-73.566024,517.7919,517.7919
4607591,04:40.1,CA,BC,Surrey,49.1301,-122.838,POI1,53.546167,-113.485734,815.0797,815.0797
4607812,04:42.2,CA,AB,Calgary,51.0419,-114.2,POI1,53.546167,-113.485734,282.88208,282.88208
4607832,04:42.9,CA,ON,Newmarket,44.0587,-79.4591,POI3,45.521629,-73.566024,493.72424,493.72424
4607888,04:39.6,CA,ON,Cornwall,45.0238,-74.7491,POI3,45.521629,-73.566024,108.07252,108.07252
4607904,04:39.6,CA,ON,Etobicoke,43.6879,-79.557,POI3,45.521629,-73.566024,517.2486,517.2486
4607928,04:39.7,CA,ON,Toronto,43.7056,-79.4279,POI3,45.521629,-73.566024,507.00302,507.00302
4607985,04:40.8,CA,AB,Calgary,51.0494,-113.9564,POI1,53.546167,-113.485734,279.67026,279.67026
4608051,04:41.8,CA,SK,Regina,50.433,-104.594,POI1,53.546167,-113.485734,701.4747,701.4747
4608116,04:43.2,CA,ON,Toronto,43.6682,-79.4209,POI3,45.521629,-73.566024,508.2972,508.2972
4608174,04:44.4,CA,AB,Calgary,51.03922,-113.97842,POI1,53.546167,-113.485734,280.97134,280.97134
4608294,04:41.4,CA,AB,Edmonton,53.55848,-113.49825,POI1,53.546167,-113.485734,1.6019047,1.6019047
4608350,04:43.0,CA,BC,Sechelt,49.474,-123.757,POI1,53.546167,-113.485734,843.6159,843.6159
4608444,04:44.1,CA,AB,Edmonton,53.47357,-113.39651,POI1,53.546167,-113.485734,10.01609,10.01609
4608530,04:44.5,CA,AB,Chestermere,51.054,-113.816,POI1,53.546167,-113.485734,278.22375,278.22375
4608546,04:45.4,CA,ON,Ancaster,43.208,-79.9652,POI3,45.521629,-73.566024,570.9865,570.9865
4608581,04:43.5,CA,QC,Dorval,45.4431,-73.751,POI3,45.521629,-73.566024,16.891428,16.891428
4608635,04:44.1,CA,AB,Okotoks,50.7362,-113.9695,POI1,53.546167,-113.485734,314.4121,314.4121
4608707,04:45.2,CA,ON,Fort Erie,42.90265,-78.9347,POI3,45.521629,-73.566024,518.26117,518.26117
4608715,04:42.8,CA,ON,Newmarket,44.039,-79.4724,POI3,45.521629,-73.566024,495.51474,495.51474
4608773,04:43.1,CA,BC,Sechelt,49.474,-123.757,POI1,53.546167,-113.485734,843.6159,843.6159
4608849,04:44.5,CA,AB,Calgary,51.1264,-114.1419,POI1,53.546167,-113.485734,272.94247,272.94247
4608893,04:45.3,CA,ON,Niagara Falls,43.1065,-79.0683,POI3,45.521629,-73.566024,514.3369,514.3369
4609017,04:43.5,CA,AB,Edmonton,53.465,-113.414,POI1,53.546167,-113.485734,10.210702,10.210702
4609080,04:43.8,CA,AB,Calgary,51.126,-114.2439,POI1,53.546167,-113.485734,274.21017,274.21017
4609143,04:44.4,CA,AB,Edmonton,53.4579,-113.412,POI1,53.546167,-113.485734,10.974705,10.974705
4609272,04:46.5,CA,ON,Ancaster,43.208,-79.9652,POI3,45.521629,-73.566024,570.9865,570.9865
4609279,04:46.8,CA,ON,Richmond Hill,43.9221,-79.4632,POI3,45.521629,-73.566024,499.7359,499.7359
4609313,04:45.6,CA,ON,Mississauga,43.5869,-79.7559,POI3,45.521629,-73.566024,536.5672,536.5672
4609345,04:47.6,CA,ON,North York,43.7801,-79.3479,POI3,45.521629,-73.566024,497.64853,497.64853
4609362,04:45.7,CA,ON,North York,43.76894,-79.43467,POI3,45.521629,-73.566024,504.50958,504.50958
4609456,04:46.5,CA,BC,Richmond,49.18083,-123.12187,POI1,53.546167,-113.485734,827.2866,827.2866
4609486,04:46.2,CA,ON,Burlington,43.303,-79.7988,POI3,45.521629,-73.566024,554.06287,554.06287
4609510,04:46.9,CA,AB,Calgary,50.89822,-114.08717,POI1,53.546167,-113.485734,297.49088,297.49088
